symbol,accuracy,avg_pnl,avg_pnl_pct,cagr,confidence_buckets,f1_score,gross_loss,gross_profit,loss_count,max_drawdown,optimal_confidence_threshold,precision,precision_buy,prediction_counts,profit_factor,recall,sharpe_ratio,total_trades,trade_expectancy,train_accuracy,train_test_gap,val_accuracy,val_test_gap,win_count,win_rate,window_index
CGPOWER.NS,0.352,-360.22815988159005,-0.011813329530674757,-0.009347341337364146,"{'low': {'count': 66, 'correct': 26}, 'medium': {'count': 41, 'correct': 12}, 'high': {'count': 18, 'correct': 6}}",0.35956367933237326,360.22815988159005,0,1,0.004668648775677138,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.43466666666666665,0.35,"{0: 60, 1: 45, 2: 20}",0.0,0.352,-12.443713563543565,1,"{'expectancy': np.float64(-360.22815988159005), 'avg_win': 0, 'avg_loss': np.float64(360.22815988159005), 'win_rate': 0.0, 'total_trades': 1}",0.8860927152317881,0.5340927152317881,0.5614035087719298,0.2094035087719298,0,0.0,1
CHOLAFIN.NS,0.536,0,,0,"{'low': {'count': 34, 'correct': 12}, 'medium': {'count': 71, 'correct': 41}, 'high': {'count': 20, 'correct': 14}}",0.5263620748883545,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.5298514034122179,0.0,"{0: 46, 1: 79}",0,0.536,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",0.8909313725490197,0.35493137254901963,0.6260162601626016,0.09001626016260156,,0,1
CIPLA.NS,0.408,0,,0,"{'low': {'count': 32, 'correct': 16}, 'medium': {'count': 75, 'correct': 29}, 'high': {'count': 18, 'correct': 6}}",0.4534114312706661,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.6425599999999999,0.0,"{0: 75, 1: 50}",0,0.408,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",0.9142156862745098,0.5062156862745097,0.7479674796747967,0.33996747967479674,,0,1
COALINDIA.NS,0.264,390.2105390167256,0.01956047528880399,0.006438197418137559,"{'low': {'count': 51, 'correct': 15}, 'medium': {'count': 56, 'correct': 15}, 'high': {'count': 18, 'correct': 3}}",0.28078233838233835,0,390.2105390167256,0,0.0005483962663175771,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.43112692307692313,0.15384615384615385,"{0: 80, 1: 32, 2: 13}",inf,0.264,-9.94165967815288,1,"{'expectancy': np.float64(390.2105390167256), 'avg_win': np.float64(390.2105390167256), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",0.8872549019607843,0.6232549019607843,0.6341463414634146,0.37014634146341463,1,1.0,1
DABUR.NS,0.408,1487.9186422119155,0.05330905161802625,0.02808777897676884,"{'low': {'count': 38, 'correct': 13}, 'medium': {'count': 60, 'correct': 30}, 'high': {'count': 27, 'correct': 8}}",0.43587350054525625,0,1487.9186422119155,0,0.003057138788167739,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.6312900432900432,0.16666666666666666,"{0: 77, 1: 42, 2: 6}",inf,0.408,-2.0567494774530783,1,"{'expectancy': np.float64(1487.9186422119155), 'avg_win': np.float64(1487.9186422119155), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",0.9068627450980392,0.49886274509803924,0.7073170731707317,0.2993170731707317,1,1.0,1
DIVISLAB.NS,0.584,678.522310791021,0.017243256303912446,0.010879213902656781,"{'low': {'count': 49, 'correct': 21}, 'medium': {'count': 46, 'correct': 27}, 'high': {'count': 30, 'correct': 25}}",0.5657773975857808,0,678.522310791021,0,0.0010817321724700742,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.554813468013468,0.3,"{0: 27, 1: 88, 2: 10}",inf,0.584,-5.794705358295517,1,"{'expectancy': np.float64(678.522310791021), 'avg_win': np.float64(678.522310791021), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",0.8688725490196079,0.2848725490196079,0.6260162601626016,0.042016260162601626,1,1.0,1
DLF.NS,0.4634146341463415,1154.2517323608417,0.059615164405506724,0.04412694415761598,"{'low': {'count': 74, 'correct': 31}, 'medium': {'count': 41, 'correct': 20}, 'high': {'count': 8, 'correct': 6}}",0.45731323069104746,0,2308.5034647216835,0,0.00057139539458105,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 2, 'all_negative_expectancy': True}",0.5620372179122249,0.3125,"{0: 69, 1: 38, 2: 16}",inf,0.4634146341463415,-1.0533220485541903,2,"{'expectancy': np.float64(1154.2517323608417), 'avg_win': np.float64(1154.2517323608417), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 2}",0.8746928746928747,0.4112782405465332,0.5609756097560976,0.09756097560975613,2,1.0,1
DMART.NS,0.424,1999.306250000002,0.11787880139042084,0.04027528727092666,"{'low': {'count': 38, 'correct': 14}, 'medium': {'count': 68, 'correct': 32}, 'high': {'count': 19, 'correct': 7}}",0.4380418428184282,0,1999.306250000002,0,0.0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5803907087552115,0.6666666666666666,"{0: 73, 1: 46, 2: 6}",inf,0.424,-1.2225878587478587,1,"{'expectancy': np.float64(1999.306250000002), 'avg_win': np.float64(1999.306250000002), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",0.9006134969325154,0.47661349693251537,0.6422764227642277,0.2182764227642277,1,1.0,1
DRREDDY.NS,0.36,183.16973980713155,0.002848037566872894,0.005531617217278351,"{'low': {'count': 62, 'correct': 31}, 'medium': {'count': 41, 'correct': 7}, 'high': {'count': 22, 'correct': 7}}",0.3831858995676754,138.9330024414013,688.4422218627959,2,0.006059865020738298,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.5012121212121212,0.0,"{0: 66, 1: 42, 2: 17}",4.955210135569947,0.36,-5.362935627223713,3,"{'expectancy': np.float64(183.16973980713152), 'avg_win': np.float64(688.4422218627959), 'avg_loss': np.float64(69.46650122070065), 'win_rate': 0.3333333333333333, 'total_trades': 3}",0.9044117647058824,0.5444117647058824,0.7398373983739838,0.3798373983739838,1,0.3333333333333333,1
EICHERMOT.NS,0.248,-367.014932128905,-0.015492421478455967,-0.009007212468327253,"{'low': {'count': 33, 'correct': 14}, 'medium': {'count': 39, 'correct': 10}, 'high': {'count': 53, 'correct': 7}}",0.21761523809523808,367.014932128905,0,1,0.011026367515228926,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.48266577918296033,0.14285714285714285,"{0: 101, 1: 17, 2: 7}",0.0,0.248,-4.6468142942500315,1,"{'expectancy': np.float64(-367.014932128905), 'avg_win': 0, 'avg_loss': np.float64(367.014932128905), 'win_rate': 0.0, 'total_trades': 1}",0.8995098039215687,0.6515098039215687,0.6585365853658537,0.4105365853658537,0,0.0,1
ETERNAL.NS,0.3902439024390244,0,,0,"{'low': {'count': 79, 'correct': 26}, 'medium': {'count': 42, 'correct': 21}, 'high': {'count': 2, 'correct': 1}}",0.3389509747940289,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.2995791288474215,0.0,"{0: 37, 1: 78, 2: 8}",0,0.3902439024390244,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",0.8831658291457286,0.4929219267067042,0.6083333333333333,0.21808943089430888,,0,1
GAIL.NS,0.4,377.004465156557,0.018662645180716433,0.018799058020330772,"{'low': {'count': 94, 'correct': 37}, 'medium': {'count': 26, 'correct': 10}, 'high': {'count': 5, 'correct': 3}}",0.44036065573770494,42.92867562103059,1173.9420710907016,1,0.015300791008226493,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.6505251700680272,0.16326530612244897,"{0: 40, 1: 36, 2: 49}",27.34633794562234,0.4,-1.0554146220424003,3,"{'expectancy': np.float64(377.004465156557), 'avg_win': np.float64(586.9710355453508), 'avg_loss': np.float64(42.92867562103059), 'win_rate': 0.6666666666666666, 'total_trades': 3}",0.8823529411764706,0.48235294117647054,0.6260162601626016,0.22601626016260157,2,0.6666666666666666,1
GODREJCP.NS,0.48,426.9766975708029,0.01500727066797508,0.006579107809646434,"{'low': {'count': 69, 'correct': 24}, 'medium': {'count': 44, 'correct': 27}, 'high': {'count': 12, 'correct': 9}}",0.542911616766467,0,426.9766975708029,0,0.005543242101036847,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.6515294117647058,0.0,"{0: 34, 1: 68, 2: 23}",inf,0.4799999999999999,-3.7501764645229145,1,"{'expectancy': np.float64(426.9766975708029), 'avg_win': np.float64(426.9766975708029), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",0.8897058823529411,0.40970588235294114,0.6097560975609756,0.12975609756097561,1,1.0,1
GRASIM.NS,0.344,622.0327357177746,0.030807657254982895,0.03342106987241267,"{'low': {'count': 34, 'correct': 14}, 'medium': {'count': 70, 'correct': 20}, 'high': {'count': 21, 'correct': 9}}",0.32758919511860696,0,1866.0982071533238,0,0.011430006463224094,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.5464176060118089,0.3333333333333333,"{0: 81, 1: 23, 2: 21}",inf,0.344,-1.0358894396307494,3,"{'expectancy': np.float64(622.0327357177746), 'avg_win': np.float64(622.0327357177746), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.8823529411764706,0.5383529411764706,0.6097560975609756,0.2657560975609756,3,1.0,1
HAL.NS,0.48,1993.720437377932,0.10189391713268448,0.11918676552449425,"{'low': {'count': 63, 'correct': 29}, 'medium': {'count': 46, 'correct': 24}, 'high': {'count': 16, 'correct': 7}}",0.4819913893446646,0,5981.161312133796,0,0.006333836308477541,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.4919855072463768,0.375,"{0: 32, 1: 69, 2: 24}",inf,0.48,1.3778186685307223,3,"{'expectancy': np.float64(1993.720437377932), 'avg_win': np.float64(1993.720437377932), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.8700980392156863,0.3900980392156863,0.6097560975609756,0.12975609756097561,3,1.0,1
HAVELLS.NS,0.536,0,,0,"{'low': {'count': 67, 'correct': 36}, 'medium': {'count': 49, 'correct': 23}, 'high': {'count': 9, 'correct': 8}}",0.5420224960282436,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.6221608643457383,0.5,"{0: 68, 1: 49, 2: 8}",0,0.536,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",0.9068627450980392,0.3708627450980392,0.7073170731707317,0.17131707317073164,,0,1
