symbol,accuracy,avg_pnl,avg_pnl_pct,cagr,confidence_buckets,f1_score,gross_loss,gross_profit,loss_count,max_drawdown,optimal_confidence_threshold,precision,precision_buy,prediction_counts,profit_factor,recall,sharpe_ratio,total_trades,trade_expectancy,train_accuracy,train_test_gap,win_count,win_rate,window_index
HCLTECH.NS,0.4065040650406504,-1345.862558288572,-0.0390370576838876,-0.058617345245421504,"{'low': {'count': 30, 'correct': 9}, 'medium': {'count': 58, 'correct': 22}, 'high': {'count': 35, 'correct': 19}}",0.42966439675520224,2691.725116577144,0,2,0.02916939473206003,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 2, 'all_negative_expectancy': True}",0.4628427249789739,0.48,"{0: 40, 1: 58, 2: 25}",0.0,0.4065040650406504,-3.936489347258846,2,"{'expectancy': np.float64(-1345.862558288572), 'avg_win': 0, 'avg_loss': np.float64(1345.862558288572), 'win_rate': 0.0, 'total_trades': 2}",1.0,0.5934959349593496,0,0.0,3
BEL.NS,0.6097560975609756,0,,0,"{'low': {'count': 4, 'correct': 1}, 'medium': {'count': 7, 'correct': 7}, 'high': {'count': 112, 'correct': 67}}",0.4753332227199823,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.46233958207350667,0.0,"{0: 1, 1: 121, 2: 1}",0,0.6097560975609756,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.3902439024390244,,0,3
ADANIENT.NS,0.37398373983739835,438.10160921224207,0.022991057589337227,0.02279679155066705,"{'low': {'count': 17, 'correct': 4}, 'medium': {'count': 42, 'correct': 12}, 'high': {'count': 64, 'correct': 30}}",0.3961968733911052,0,1314.3048276367263,0,0.005864383865030572,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.47734800580329034,0.18181818181818182,"{0: 14, 1: 54, 2: 55}",inf,0.37398373983739835,-1.8350373564259985,3,"{'expectancy': np.float64(438.10160921224207), 'avg_win': np.float64(438.10160921224207), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.9990592662276576,0.6250755263902592,3,1.0,3
JSWSTEEL.NS,0.4959349593495935,65.0407990722706,0.0021688102898923113,-0.0008147569225629425,"{'low': {'count': 19, 'correct': 8}, 'medium': {'count': 34, 'correct': 13}, 'high': {'count': 70, 'correct': 40}}",0.4868660436511875,0,65.0407990722706,0,0.007950438954312732,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.4817125963467427,0.125,"{0: 30, 1: 77, 2: 16}",inf,0.4959349593495935,-3.738022057384152,1,"{'expectancy': np.float64(65.0407990722706), 'avg_win': np.float64(65.0407990722706), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",0.9990566037735849,0.5031216444239914,1,1.0,3
POWERGRID.NS,0.4796747967479675,497.37759027100077,0.013188955501445013,0.007467353071121341,"{'low': {'count': 17, 'correct': 8}, 'medium': {'count': 47, 'correct': 18}, 'high': {'count': 59, 'correct': 33}}",0.47704219899341854,0,497.37759027100077,0,0.0049143779807830235,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.49109838148921314,0.14285714285714285,"{0: 33, 1: 83, 2: 7}",inf,0.4796747967479675,-4.632400030320655,1,"{'expectancy': np.float64(497.37759027100077), 'avg_win': np.float64(497.37759027100077), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.5203252032520325,1,1.0,3
COALINDIA.NS,0.2601626016260163,0,,0,"{'low': {'count': 10, 'correct': 4}, 'medium': {'count': 41, 'correct': 16}, 'high': {'count': 72, 'correct': 12}}",0.2680497149799084,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.34554893981190654,0.0,"{0: 76, 1: 47}",0,0.2601626016260163,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.7398373983739837,,0,3
BAJAJ-AUTO.NS,0.5121951219512195,2198.3140195312517,0.059539271798571734,0.04482569788220836,"{'low': {'count': 19, 'correct': 9}, 'medium': {'count': 37, 'correct': 19}, 'high': {'count': 67, 'correct': 35}}",0.45785194694052206,0,2198.3140195312517,0,0.0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.4269172561855488,0.23809523809523808,"{0: 3, 1: 99, 2: 21}",inf,0.5121951219512195,-0.5142202004124881,1,"{'expectancy': np.float64(2198.3140195312517), 'avg_win': np.float64(2198.3140195312517), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.4878048780487805,1,1.0,3
BAJAJFINSV.NS,0.5934959349593496,0,,0,"{'low': {'count': 17, 'correct': 8}, 'medium': {'count': 60, 'correct': 30}, 'high': {'count': 46, 'correct': 35}}",0.5671053842613898,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.5431843177848226,0.0,"{0: 29, 1: 91, 2: 3}",0,0.5934959349593496,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.4065040650406504,,0,3
NESTLEIND.NS,0.5121951219512195,229.4786333007847,0.00881490262064616,0.00801521339254574,"{'low': {'count': 30, 'correct': 13}, 'medium': {'count': 37, 'correct': 16}, 'high': {'count': 56, 'correct': 34}}",0.5403608693181207,0,688.4358999023541,0,0.015285486087714118,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.6032626600775811,0.24444444444444444,"{0: 10, 1: 68, 2: 45}",inf,0.5121951219512194,-1.5617915921972292,3,"{'expectancy': np.float64(229.4786333007847), 'avg_win': np.float64(229.4786333007847), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",1.0,0.4878048780487805,3,1.0,3
TATASTEEL.NS,0.4796747967479675,808.539759635931,0.020625665949085527,0.01374235473662555,"{'low': {'count': 20, 'correct': 4}, 'medium': {'count': 49, 'correct': 26}, 'high': {'count': 54, 'correct': 29}}",0.4554518048169494,0,808.539759635931,0,0.0010776265903160674,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.563358564620129,0.5,"{0: 58, 1: 63, 2: 2}",inf,0.47967479674796754,-5.339373637955283,1,"{'expectancy': np.float64(808.539759635931), 'avg_win': np.float64(808.539759635931), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.5203252032520325,1,1.0,3
